what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1372057799140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057808968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057808968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057809078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057813796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372057818312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372057820578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057823578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057823578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057823656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057866750
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1372057868703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057875093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372057897265
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1372057899796
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1372057899796
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1372057899843
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1372057899859
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1372057899875
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1372057900125
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1372057900421
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1372057900437
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372057900468
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372057900593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057901156
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1372057901937
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1372057903640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057906312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057921656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372057923125
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1372057924187
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1372057924718
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1372057925156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372057925515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057931484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057931500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057931562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372057948031
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1372057949109
