what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067600390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372067610421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067612562
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372067612703
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372067612734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067621234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067621234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067621343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067630296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372067631640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067639796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067639812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067639890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067652109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372067654375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372067658468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372067674296
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1372067678218
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372067678500
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372067678593
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1372067689593
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372067692531
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372067692562
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372067704375
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1372067709359
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1372067714593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067714609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067718687
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372067732140
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372067735968
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372067738796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067746484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067746484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067746671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067771609
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372067779109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067789953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067789953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067790125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067804140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1372067815890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067818328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067843562
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1372067845390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067852406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067852421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372067852515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372068067812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372068073625
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372068075796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372068077656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372068089421
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1372068101078
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1372068101093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372068101156
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1372068109718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372068112906
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1372068114390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372068114421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1372068114671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372068119453
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372068134406
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372068134421
